School,Make Tournament,Conference Champ,Last 12 Wins,Conference Finish,RPI Rank,NET Rank,Conference,Record,Wins,Losses,Adj. Offensive Efficiency,OE Rank,Adj. Defensive Efficiency,DE Rank,Barthag,T-Rank,Conference Record,SOS,Non-Conf SOS,Conference SOS,Conference Win %,Wins Above Bubble,WAB Rank,Efficiency Avg,Season
Florida International,0,0,3,13,338,NA,CUSA,5-24,5,24,102.4683129773974,192,112.08047323962141,314,0.26286500631390775,270,3-15,0.4185311694218719,0.3985807019521943,0.43072312176445265,0.16666666666666666,-18.934547058942538,338,253,2017
Florida State,1,0,7,2,13,NA,ACC,25-8,25,8,116.64295158720434,24,93.8796838579141,29,0.9239095244902599,21,12-6,0.7058474547881306,0.4662174297360252,0.8583482933669659,0.6666666666666666,5.78395781045146,16,26.5,2017
Fordham,0,0,5,10,213,NA,A10,12-19,12,19,96.87401232885657,294,98.3920706894558,71,0.45541556934169736,184,7-11,0.5461909958388155,0.45307724620463957,0.6050332667699674,0.3888888888888889,-11.865313414100472,241,182.5,2017
Fresno State,0,0,8,4,76,NA,MWC,18-12,18,12,104.26913891049131,156,97.5816193869546,62,0.6818511944688624,92,11-7,0.5550054998276299,0.4546389752310728,0.593077423129894,0.6111111111111112,-3.951603577565773,95,109,2017
Furman,0,0,10,1,98,NA,SC,19-11,19,11,107.17811740554673,107,100.55148847606867,105,0.6756725838730092,96,14-4,0.47736519315033754,0.48427797462778116,0.4690672692723025,0.7777777777777778,-4.894527557026324,104,106,2017
Gardner-Webb,0,0,8,4,186,NA,BSth,16-14,16,14,101.53903875333538,214,102.75785974635144,159,0.4657492204330619,179,11-7,0.39800308074017093,0.5867123861743352,0.2848368892066065,0.6111111111111112,-8.311240313178196,172,186.5,2017
George Mason,0,0,6,7,103,NA,A10,19-13,19,13,107.5219797891356,100,103.63157435469199,172,0.6043951146912592,121,9-9,0.5464409272791664,0.4506536611580687,0.6002705916898645,0.5,-5.345954030165824,113,136,2017
George Washington,0,0,8,6,102,NA,A10,19-14,19,14,107.57734434547999,99,103.62289938617506,171,0.6060395885350265,119,10-8,0.5703137055858211,0.5115622436527248,0.6205439659286989,0.5555555555555556,-5.291749163813242,110,135,2017
Georgetown,0,0,4,9,108,NA,BE,14-18,14,18,107.86111506126944,93,96.19432683862513,47,0.7885907247992152,63,5-13,0.7133473982386032,0.5751484678548713,0.8151707672477619,0.2777777777777778,-4.682514692346613,102,70,2017
Georgia,0,0,6,8,52,NA,SEC,18-14,18,14,108.22247942288516,84,95.03884898215959,40,0.8166612158801067,57,9-9,0.7403243282725332,0.6317947296763051,0.7966124366559485,0.5,0.1322559323485447,51,62,2017
Georgia Southern,0,0,5,3,127,NA,SB,16-14,16,14,105.67243011216414,126,105.97675860312594,218,0.4917328737923021,165,11-7,0.48545241946984413,0.5219227732037354,0.4585121550486256,0.6111111111111112,-8.094025116683405,168,172,2017
Georgia State,0,0,8,2,97,NA,SB,18-12,18,12,104.27306536228323,155,99.53021868545898,91,0.6307290013757794,111,12-6,0.48105154704065406,0.535147447047374,0.4434369901141502,0.6666666666666666,-5.986721127007458,128,123,2017
Georgia Tech,0,0,6,11,106,NA,ACC,16-15,16,15,98.30377684279586,269,90.24832750956531,7,0.727746647718396,80,8-10,0.6931394477369218,0.44710297207159333,0.852168935539887,0.4444444444444444,-2.2555621043751293,78,138,2017
Gonzaga,1,1,11,1,8,NA,WCC,32-1,32,1,120.18505811022882,10,87.51194772778771,2,0.9746292406254564,1,17-1,0.5355907486621039,0.5443913061265822,0.5138525263949276,0.9444444444444444,7.623961617388972,8,6,2017
Grambling,0,0,8,3,320,NA,SWAC,13-17,13,17,94.58094526353639,322,112.94385354410983,323,0.11501581713899552,333,10-8,0.2545917703864481,0.4732602040711453,0.1324443702305614,0.5555555555555556,-13.617433431739705,272,322.5,2017
Grand Canyon,0,0,10,2,130,NA,WAC,20-9,20,9,99.87652281384362,239,98.65885548725191,75,0.5352082689975827,146,11-3,0.39755439434960477,0.41300527298852574,0.3809998815221894,0.7857142857142857,-3.2888965212512757,88,157,2017
Green Bay,0,0,7,3,157,NA,Horz,16-13,16,13,100.95865642736504,218,102.6919490408228,158,0.4512156320966033,189,12-6,0.4266808607144234,0.4844642741120716,0.4007572869453664,0.6666666666666666,-7.759068688722834,163,188,2017
Hampton,0,0,8,3,277,NA,MEAC,12-16,12,16,92.22941982977504,335,106.64368627276625,228,0.15842926214857078,323,11-5,0.3029397865026748,0.5435941380481654,0.1473072534785144,0.6875,-12.537937312188388,253,281.5,2017
Hartford,0,0,3,7,328,NA,AE,9-23,9,23,91.77775989599877,339,109.83851531320363,291,0.11245817254151785,335,4-12,0.3850943364482506,0.36361961228254974,0.38812044782815913,0.25,-18.161414333809255,332,315,2017
Harvard,0,0,8,2,134,NA,Ivy,16-10,16,10,105.67323934741898,125,101.52576648407239,125,0.6131207366718976,117,10-4,0.4563175120402753,0.5040823165839913,0.4147740379957214,0.7142857142857143,-5.12425420424679,107,125,2017
Hawaii,0,0,6,5,303,NA,BW,13-16,13,16,96.86025028248449,296,103.85711256357726,178,0.3095789709539638,247,8-8,0.3888609917895957,0.4678646243229235,0.3289545795751141,0.5,-11.6610485162985,234,237,2017
High Point,0,0,7,5,235,NA,BSth,12-16,12,16,98.3056506042326,268,107.70105532543477,252,0.25928356743324965,272,9-9,0.37853881149252977,0.5112317020180716,0.30734734351105225,0.5,-11.462911752915248,232,260,2017
Hofstra,0,0,6,7,196,NA,CAA,14-17,14,17,109.22150953481426,68,112.00953237528279,312,0.42803604957538416,195,7-11,0.46733511703153724,0.43191960851476136,0.5034940361984077,0.3888888888888889,-11.15306128397775,228,190,2017
Holy Cross,0,0,6,5,207,NA,Pat,15-17,15,17,96.96531988923378,293,102.52743891525056,151,0.34492192814311895,228,9-9,0.41873973465310166,0.4931615377960093,0.36103043020212794,0.5,-10.848110783568863,219,222,2017
Houston,0,0,8,3,58,NA,Amer,21-10,21,10,113.11210346849548,41,97.87989913689236,66,0.8406857320133488,45,12-6,0.5816663878533809,0.4623989940245902,0.6510258636535013,0.6666666666666666,-1.028800227975127,60,53.5,2017
Houston Baptist,0,0,10,2,174,NA,Slnd,13-13,13,13,103.45871710618673,165,109.30495773127613,280,0.3470244340973746,226,12-6,0.42158831835915705,0.7696736273358956,0.2917401713723926,0.6666666666666666,-7.763211605422964,164,222.5,2017
Howard,0,0,3,11,337,NA,MEAC,8-24,8,24,89.59357480015797,348,109.00867288484585,276,0.09486286406629915,339,5-11,0.3626407830429931,0.646314311086209,0.16918492524302756,0.3125,-18.044610229669754,331,312,2017
Idaho,0,0,9,3,206,NA,BSky,16-13,16,13,100.71489517389749,223,105.80429428833038,216,0.361947793081675,221,12-6,0.36477302133079265,0.4570467191831201,0.30813782431152525,0.6666666666666666,-9.333556969803853,192,219.5,2017
Idaho State,0,0,2,11,340,NA,BSky,4-26,4,26,97.66433317073239,274,114.73460723907654,335,0.13558190772017595,327,3-15,0.4349408523807808,0.5750984033706387,0.3609804447875096,0.16666666666666666,-20.151938284872934,344,304.5,2017
Illinois,0,0,6,9,63,NA,B10,17-14,17,14,105.85092966557853,119,96.57996610450226,52,0.7415605114772813,77,8-10,0.7166305720072075,0.5469762770641949,0.8178845896982695,0.4444444444444444,-1.5718148050522596,67,85.5,2017
Illinois-Chicago,0,0,3,6,252,NA,Horz,13-18,13,18,99.82034165251181,240,106.77609516938412,232,0.31547105457892044,244,7-11,0.41155219019240613,0.41464445186411464,0.4155239771462791,0.3888888888888889,-13.39392390917318,268,236,2017
Illinois State,0,0,11,1,32,NA,MVC,26-6,26,6,105.89014303765347,118,90.95089723854971,9,0.8518200146249281,41,17-1,0.5422975885860312,0.5113226637241,0.5399828578122007,0.9444444444444444,1.686828519400101,36,63.5,2017
Incarnate Word,0,0,5,8,301,NA,Slnd,8-17,8,17,100.69787284328633,224,114.09430970844849,333,0.19210994343968646,307,7-11,0.3782950817085233,0.568496331487607,0.3043279290166573,0.3888888888888889,-13.265859490517297,266,278.5,2017
Indiana,0,0,4,10,80,NA,B10,18-15,18,15,116.37026542964983,28,99.96698671091059,98,0.8516089094826443,42,7-11,0.6724893614445699,0.4433072753974585,0.8175054777810687,0.3888888888888889,-1.2402710222985396,64,63,2017
Indiana State,0,0,4,9,234,NA,MVC,10-20,10,20,98.61125034999318,265,100.90923925384946,112,0.43415574111240013,193,5-13,0.5719225051250322,0.5477502449256756,0.5856973435767318,0.2777777777777778,-11.853993116304586,240,188.5,2017
Iona,1,1,8,3,90,NA,MAAC,22-12,22,12,108.82311724058162,77,105.79754989830457,215,0.5803618241202564,131,12-8,0.4342768391536501,0.500071359369772,0.38519854846800644,0.6,-5.858752104853583,125,146,2017
Iowa,0,0,7,5,81,NA,B10,18-14,18,14,111.96845106414132,46,100.01399054565633,99,0.7855708423592066,65,10-8,0.6664535254343597,0.4790695700194567,0.7914999718980164,0.5555555555555556,-1.8801325556850013,71,72.5,2017
Iowa State,1,1,8,2,24,NA,B12,23-10,23,10,119.66395944554164,13,96.42101675383387,50,0.9229825102323328,22,12-6,0.7467473848859267,0.5296925385854908,0.8664299095476028,0.6666666666666666,6.353275965536975,11,31.5,2017
IUPUI,0,0,6,7,219,NA,Sum,12-18,12,18,105.39831941061973,139,109.3733697872556,284,0.39514437003017944,208,7-9,0.47197580750054696,0.5429653434696867,0.4200471494042984,0.4375,-11.339064855714117,231,211.5,2017
Jackson State,0,0,7,3,323,NA,SWAC,12-17,12,17,92.08086278966724,337,108.89331080014253,274,0.1269092888048529,329,10-8,0.26254794572930407,0.5135448667029492,0.13109855556710812,0.5555555555555556,-14.664310415303945,289,305.5,2017
Jacksonville,0,0,4,6,291,NA,ASun,13-15,13,15,100.29048777560324,232,111.41252475675202,307,0.22979973775597082,286,5-9,0.32172951720835385,0.2937265427454252,0.3441204378002153,0.35714285714285715,-11.823329649236419,238,269.5,2017
Jacksonville State,1,1,6,3,151,NA,OVC,18-14,18,14,103.2143832102394,176,103.71965792176313,175,0.48596377863230783,170,9-7,0.42810343285827795,0.4817372066347765,0.37761908747151013,0.5625,-8.127089762628783,169,175.5,2017
James Madison,0,0,3,7,257,NA,CAA,9-23,9,23,98.42774402749806,267,103.19536309235744,165,0.3672659708639762,219,7-11,0.4818022898270881,0.43912297073613876,0.5100959428732291,0.3888888888888889,-17.152193146384164,320,216,2017
Kansas,1,0,10,1,2,NA,B12,28-4,28,4,120.30661544764513,9,94.50161444996328,34,0.9413875064777688,10,16-2,0.7588932853974465,0.6078236767958357,0.8643194624444895,0.8888888888888888,10.876760117597803,2,21.5,2017
Kansas State,1,0,4,6,57,NA,B12,20-13,20,13,111.22786250114277,54,93.26015283411402,23,0.883516650401156,32,8-10,0.703853463710795,0.4363758717530065,0.8709219625520308,0.4444444444444444,1.5430003468633595,40,38.5,2017
Kennesaw State,0,0,7,4,261,NA,ASun,12-18,12,18,101.05593129171709,216,108.74898356792521,270,0.30074891764318606,250,7-7,0.38987829783970324,0.4267703850331553,0.3340738009976728,0.5,-13.080809398066318,262,243,2017
