School,Make Tournament,Conference Champ,Last 12 Wins,Conference Finish,RPI Rank,NET Rank,Conference,Record,Adj. Offensive Efficiency,OE Rank,Adj. Defensive Efficiency,DE Rank,Barthag,Barthag Rank,Conference Record,SOS,Non-Conf SOS,Conference SOS,Conference Win %,Wins Above Bubble,WAB Rank
Detroit Mercy,0,0,3,6,240,235,Horz,11-20,105.31051283396945,138,112.17576544966752,325,0.3260142599855309,239,8-10,0.5165645508358132,0.6312682548739955,0.42862889388160497,0.4444444444444444,-12.3036600862514,246
Drake,0,0,9,1,72,127,MVC,22-9,106.72967002529899,111,101.41856099230728,136,0.6426754261505185,122,12-6,0.48056114613464446,0.5353180546706658,0.45165013367475637,0.6666666666666666,-2.931273983227132,84
Drexel,0,0,5,6,238,233,CAA,12-19,103.20271153798055,174,112.69557603273606,331,0.26659978567635395,272,7-11,0.43933592929983384,0.47365225146429973,0.40745137704358525,0.3888888888888889,-13.59654049327856,276
Duke,1,1,9,3,1,3,ACC,29-5,119.48512748272086,7,88.17327543582712,6,0.9705369312646159,3,14-4,0.7477112997030012,0.6210692537571927,0.8103525094844914,0.7777777777777778,11.13359519995604,1
Duquesne,0,0,5,6,167,170,A10,19-13,103.86117161432954,164,104.24891781107274,186,0.48928835172310875,165,10-8,0.47884982277152655,0.37396749119270756,0.5536184727841413,0.5555555555555556,-6.726842949928889,148
East Carolina,0,0,2,11,268,258,Amer,10-21,98.31816207524683,271,105.40850353270477,214,0.3098550143868191,250,3-15,0.5358849987319908,0.2778642067626586,0.6961596841394383,0.16666666666666666,-12.304906749867776,247
East Tennessee State,0,0,8,3,68,72,SC,22-9,107.45144011993817,98,100.18331592977285,114,0.6911347306850215,93,13-5,0.498261724307021,0.4747521257579507,0.499985890109041,0.7222222222222222,-1.5455196229619366,67
Eastern Illinois,0,0,3,6,272,308,OVC,13-18,99.16402350441741,256,110.68715199554329,306,0.22024767531683653,297,7-11,0.3946231793295064,0.4209917069333864,0.384775511535503,0.3888888888888889,-12.129553774921865,242
Eastern Kentucky,0,0,4,7,233,259,OVC,11-18,98.41297056131968,266,105.12935015847606,206,0.3188162414904815,244,6-12,0.4583029402173398,0.5212122328883964,0.41985837247391616,0.3333333333333333,-11.364506678796271,227
Eastern Michigan,0,0,7,3,137,158,MAC,11-17,101.9048820443877,199,101.56853590023927,140,0.509503743438924,157,9-9,0.6127746042090234,0.6409669276661697,0.6049421123897999,0.5,-8.147830116284547,171
Eastern Washington,0,0,8,3,194,245,BSky,15-18,100.15617892386943,241,106.70431659246826,244,0.32556682790822333,240,12-8,0.40727469905076813,0.6441197005380294,0.29447354364821354,0.6,-11.957973751475736,238
Elon,0,0,6,6,276,277,CAA,9-21,98.9345065236259,258,109.430228839036,287,0.23875188190760727,294,7-11,0.4119846126092094,0.4267357279127881,0.41052379688721424,0.3888888888888889,-16.298783982786656,316
Evansville,0,0,2,10,273,208,MVC,9-21,97.80606272864938,277,105.37724047374515,213,0.2978742114762881,255,5-13,0.5029846347460886,0.5351280928601495,0.4891087462191397,0.2777777777777778,-14.529683323239636,292
Fairfield,0,0,4,9,329,292,MAAC,9-22,95.48314835508347,308,104.90760972863671,201,0.2530335416876871,286,6-12,0.3314620713212307,0.4356473648943094,0.2720655220124957,0.3333333333333333,-17.814390719814504,334
Fairleigh Dickinson,1,1,10,1,197,203,NEC,18-13,105.12788940161971,141,110.3369739367073,298,0.3644371185238171,222,12-6,0.3084656990305802,0.4615046596778651,0.23491106361595135,0.6666666666666666,-9.374534651051034,197
Florida,1,0,6,8,52,31,SEC,19-15,109.96025063965646,57,91.72005020212103,16,0.8895198817819147,25,9-9,0.7396356339323896,0.6308000201347347,0.7961542925398649,0.5,0.5931787785721029,47
Florida A&M,0,0,7,5,295,315,MEAC,10-19,88.18368391540183,347,101.59260032757115,141,0.16413051265063475,319,9-7,0.3401849357537864,0.5691783996701251,0.15412774632176116,0.5625,-14.088551976383165,286
Florida Atlantic,0,0,6,9,186,150,CUSA,14-15,98.59067044299816,263,98.03020712334443,83,0.5163844197375967,154,8-10,0.4784032547955922,0.4901724639686272,0.4683870274295709,0.4444444444444444,-9.082533970235007,193
Florida Gulf Coast,0,0,8,3,215,227,ASun,12-18,99.87582062312009,249,104.80320107399874,199,0.36498276711317773,221,9-7,0.47725211617474056,0.6046519972843524,0.38355076001303534,0.5625,-11.174967016379652,224
Florida International,0,0,7,6,161,187,CUSA,15-13,101.04373643043702,222,104.41920314994702,191,0.4066355164683048,199,10-8,0.47457238017470565,0.44846760150671333,0.4860707281858932,0.5555555555555556,-7.907392583511708,167
Florida State,1,0,11,4,11,16,ACC,27-7,112.23570248493245,34,91.00161001138616,13,0.9177246157706482,16,13-5,0.7116902699546674,0.5439644911293451,0.7910538200727413,0.7222222222222222,7.572365896529824,10
Fordham,0,0,3,14,312,243,A10,11-20,96.43841045848094,298,102.92039056799636,163,0.321237855983173,242,3-15,0.4431354456891335,0.26760571083303125,0.5561412392294813,0.16666666666666666,-14.892654528436521,296
Fresno State,0,0,8,3,104,80,MWC,22-9,107.1248329292002,101,98.96689390752056,96,0.7131860182406067,82,13-5,0.49500528232413576,0.4423670176819741,0.5165270534886058,0.7222222222222222,-2.0802352689212227,71
Furman,0,0,9,3,59,41,SC,22-7,107.37331908253049,100,95.6285882802377,43,0.7911975279057858,55,13-5,0.48131425206761275,0.4493070976220577,0.4889535695984193,0.7222222222222222,-0.47159198497547183,56
Gardner-Webb,1,1,8,3,134,173,BSth,20-11,105.39303971984972,135,108.06964876126725,268,0.42839264142600747,192,10-6,0.390742840191806,0.4364578252083245,0.3377216319552574,0.625,-5.079923695849447,120
George Mason,0,0,6,5,150,153,A10,18-15,102.81561620269355,182,103.48415695544432,173,0.4813749473845247,168,11-7,0.5168244730695073,0.47915202235359033,0.5492216154501209,0.6111111111111112,-6.85403321972462,152
George Washington,0,0,2,12,264,283,A10,9-24,95.48153847469277,309,104.20138720006463,185,0.26795673853519114,270,4-14,0.5274540677962589,0.4944639555799192,0.5638719088655466,0.2222222222222222,-15.83167503968378,312
Georgetown,0,0,7,3,90,82,BE,19-13,108.68097417675513,72,100.9564740381089,125,0.7001188035407209,88,9-9,0.652587357089217,0.4567338295527896,0.7859297810097817,0.5,-2.5137796904011163,78
Georgia,0,0,1,13,190,122,SEC,11-21,104.90814565674218,144,100.2784744477787,116,0.6269237718407764,127,2-16,0.6991435539378833,0.5010791797722034,0.8369576217989424,0.1111111111111111,-7.486658355730466,162
Georgia Southern,0,0,8,2,70,125,SB,19-12,107.38352045786328,99,100.3681095810486,119,0.6850257141215846,96,12-6,0.5397672539207827,0.6085936164103208,0.49428434587505216,0.6666666666666666,-4.914941560829369,118
Georgia State,1,1,8,1,57,121,SB,22-9,107.60046086678962,94,101.12962360938624,127,0.6711191357468319,104,13-5,0.5376757147544238,0.5955171028844131,0.4958048337169202,0.7222222222222222,-1.5854912721189895,68
Georgia Tech,0,0,3,10,152,126,ACC,14-18,99.98645483768557,244,95.1520422455605,36,0.6387457963863356,124,6-12,0.6707843592779468,0.443554246124785,0.8324657582901893,0.3333333333333333,-4.837945836939871,117
Gonzaga,1,0,12,1,8,2,WCC,30-3,124.00281026308483,1,90.57819068444937,10,0.9737130441761277,2,16-0,0.5854712959954996,0.5609853393191282,0.5928299844477376,1,6.9262277106001955,13
Grambling,0,0,7,3,279,293,SWAC,14-16,93.83674130107082,325,103.45666670184417,172,0.24557411734957488,291,10-8,0.29347183867797777,0.5537526298352382,0.1552072078856558,0.5555555555555556,-11.478957185401846,229
Grand Canyon,0,0,7,3,121,96,WAC,19-13,106.90112364212456,104,101.02183111721011,126,0.6571295239634879,112,10-6,0.4984481917311316,0.5288310861908421,0.44505967542715935,0.625,-5.685229775450545,131
Green Bay,0,0,7,4,183,221,Horz,15-16,101.34158079489583,213,105.53220459185482,220,0.3855698959191229,212,10-8,0.5008430571350776,0.6273007206108688,0.4221384788960532,0.5555555555555556,-8.457515843335047,175
Hampton,0,0,7,5,237,209,BSth,12-16,106.36554215185414,120,110.38676828103104,300,0.39490292636640983,207,9-7,0.38295493719673324,0.45698439290684867,0.3477762722257668,0.5625,-11.453730331245316,228
Hartford,0,0,8,4,164,183,AE,17-15,106.80117779893902,106,110.672187392359,305,0.399046041461309,205,10-6,0.38406976512570884,0.5057574829620747,0.28961491362236114,0.625,-9.275552074922391,195
Harvard,0,0,9,1,56,129,Ivy,17-10,103.07101283848806,177,97.94894149737024,80,0.6424873464410408,123,10-4,0.5404976715961632,0.5596725996249566,0.5142987629915109,0.7142857142857143,-3.0749964938530505,87
Hawaii,0,0,7,4,217,188,BW,16-13,102.46613223610879,188,105.80599324408237,231,0.4088163605836767,198,9-7,0.3946003249008415,0.4515632070462023,0.35435616875757625,0.5625,-8.678494175935649,179
High Point,0,0,6,5,227,240,BSth,14-15,97.97840570933994,275,103.93129532906937,181,0.3366399424371845,233,9-7,0.39483812778836774,0.4475707397634125,0.3531915117040793,0.5625,-10.267281786138648,208
Hofstra,0,0,9,1,47,76,CAA,26-7,114.86089888221855,19,108.50556062219502,273,0.6580428459723662,111,15-3,0.3756229586732852,0.3819017255887765,0.36488124916150577,0.8333333333333334,-1.9512979408730524,70
Holy Cross,0,0,4,10,168,232,Pat,16-17,99.57298232366884,253,106.68734136104254,241,0.311388923478205,249,6-12,0.4194379221776843,0.4616762369643514,0.3873452597837089,0.3333333333333333,-11.311602853202853,225
Houston,1,0,11,1,5,4,Amer,31-2,115.12815874230795,18,90.6135150564044,11,0.940115746141981,11,16-2,0.5916517677309284,0.4622259030783686,0.6678238277852301,0.8888888888888888,8.111756696471563,9
Houston Baptist,0,0,7,7,304,290,Slnd,10-18,102.06753300776542,198,111.5243820931023,316,0.2652225427514898,273,8-10,0.39768550834867594,0.6476115773286983,0.27296658768598714,0.4444444444444444,-13.115641708407649,265
Howard,0,0,8,3,302,306,MEAC,14-16,101.22250101043377,217,114.7881063314448,343,0.19056884367116905,312,10-6,0.28375216182299573,0.48695135650752946,0.13822502598662256,0.625,-12.867996752604622,256
Idaho,0,0,1,11,344,338,BSky,3-26,94.30174856644928,321,118.05160158020593,351,0.07023049251628516,345,2-18,0.34811602409421133,0.4289639331051719,0.32010725684944136,0.1,-23.443785292967696,353
Idaho State,0,0,4,10,275,307,BSky,9-19,102.46564189875409,189,116.52524448696212,348,0.18562769832851875,313,7-13,0.38598462056320154,0.6263081424036885,0.3083697318505683,0.35,-14.359258251652648,289
Illinois,0,0,6,10,174,109,B10,12-21,110.20716283791218,52,98.80026884416887,94,0.7784243978644587,63,7-13,0.7645445231987584,0.5989345180774923,0.8526847893374097,0.35,-5.593419389082343,128
Illinois-Chicago,0,0,7,4,222,215,Horz,14-16,100.21335679170323,238,101.54610371664067,139,0.46209001110637,179,10-8,0.4573369162967154,0.5279062133859133,0.4138369465087138,0.5555555555555556,-10.097697444999227,207
Illinois State,0,0,5,5,179,199,MVC,16-16,100.14910127946251,242,103.77424453741152,178,0.39917258898537666,204,9-9,0.509291792017135,0.5626423217528957,0.4780599914390732,0.5,-9.079514478814499,192
Incarnate Word,0,0,0,13,345,347,Slnd,2-25,97.36663435521174,284,118.64665224908453,353,0.09337027800522417,340,1-17,0.39638294173264865,0.5907808594600091,0.2991839828689685,0.05555555555555555,-20.261830691451344,345
Indiana,0,0,5,8,97,54,B10,17-15,108.46683194687668,77,95.06154990692599,34,0.8201078460971358,49,8-12,0.7367789137088375,0.5125453427736727,0.8551936302010439,0.4,-0.010784447479777248,51
Indiana State,0,0,5,8,188,198,MVC,13-16,100.75301298980716,226,104.33493983844693,190,0.40089358321356133,201,7-11,0.5128373925264144,0.5899753665933478,0.4778730722771841,0.3888888888888889,-9.552898895906718,198
Iona,1,1,8,1,201,202,MAAC,17-15,104.82918631119763,145,109.24874767633159,285,0.38345852256700097,213,12-6,0.35933153231272597,0.5148397673512123,0.27804708016198804,0.6666666666666666,-10.47154347060256,211
Iowa,1,0,5,6,54,43,B10,22-11,116.56224465551131,15,100.39374503766564,120,0.8477734299077251,40,10-10,0.7026878774088658,0.4078471111118672,0.8476982777135806,0.5,3.1661549103772955,27
Iowa State,1,1,6,5,33,21,B12,23-11,118.69529384165916,10,96.84809029303136,63,0.9120786685144897,18,9-9,0.7164763336555167,0.5060368925683215,0.8405717125040187,0.5,4.217088061763375,22
IUPUI,0,0,5,6,247,207,Horz,14-16,102.60319165432685,184,106.29279935706012,235,0.3998049702732163,203,8-10,0.4374267568361048,0.4398620614905726,0.42059166287260447,0.4444444444444444,-10.482222113613123,212
Jackson State,0,0,7,3,321,328,SWAC,11-19,89.75635369589887,340,104.26473973805709,187,0.15147282945734233,323,10-8,0.32269212972363986,0.6013503034576221,0.1656866060477992,0.5555555555555556,-14.559543136359274,293
Jacksonville,0,0,4,7,307,289,ASun,10-20,97.09783719287282,287,106.45952304812947,238,0.25759122233728593,281,5-11,0.411854612399229,0.4021608731059136,0.39677993959226726,0.3125,-14.292585691953624,288
Jacksonville State,0,0,9,3,123,130,OVC,22-9,103.21087898328915,173,99.5067454075141,106,0.603557794936785,131,15-3,0.39564637661552304,0.47852223156854273,0.3322869744297703,0.8333333333333334,-3.240199302934516,91
James Madison,0,0,4,8,260,252,CAA,12-19,100.21901317000192,237,110.01450384406401,294,0.25494232186273635,285,6-12,0.41047632862260364,0.40495684704743345,0.40873595533191137,0.3333333333333333,-14.188728975331538,287
